project_name;bioproject_accession;*organism;host;isolation_source;*collection_date;*geo_loc_name;filename2;Treatment;16S_ID
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-1
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-2
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-3
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-4
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-5
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-6
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-7
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-8
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-9
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-10
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-11
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Aposymbiotic;CB-12
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-13
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-14
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-15
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-16
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-17
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-18
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-19
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-20
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_Smic_KB8;CB-21
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-31
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-32
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-33
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-34
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-35
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-36
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-37
Cassiopea xamachana microbiome;PRJNA1390206;protist metagenome;Cassiopea xamachana;polyp;2023;USA: Florida;;Polyp_antifungal;CB-38
